Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+6.850000E-06,+3.000000E+00,+6.900000E-06,+1.375000E+00
+6.950000E-06,+3.000000E+00,+7.000000E-06,+1.437500E+00
+7.050000E-06,+3.000000E+00,+7.100000E-06,+1.375000E+00
+7.150000E-06,+3.000000E+00,+7.200000E-06,+1.375000E+00
+7.250000E-06,+3.000000E+00,+7.300000E-06,+1.312500E+00
+7.350000E-06,+3.000000E+00,+7.400000E-06,+1.312500E+00
+7.450000E-06,+3.000000E+00,+7.500000E-06,+1.187500E+00
+7.550000E-06,+3.000000E+00,+7.600000E-06,+1.187500E+00
+7.650000E-06,+3.000000E+00,+7.700000E-06,+1.250000E+00
+7.750000E-06,+3.031250E+00,+7.800000E-06,+1.187500E+00
+7.850000E-06,+3.000000E+00,+7.900000E-06,+1.187500E+00
+7.950000E-06,+3.000000E+00,+8.000000E-06,+1.125000E+00
+8.050000E-06,+3.000000E+00,+8.100000E-06,+1.125000E+00
+8.150000E-06,+3.000000E+00,+8.200000E-06,+1.062500E+00
+8.250000E-06,+3.000000E+00,+8.300000E-06,+1.062500E+00
+8.350000E-06,+3.000000E+00,+8.400000E-06,+1.062500E+00
+8.450000E-06,+3.000000E+00,+8.500000E-06,+1.000000E+00
+8.550000E-06,+3.000000E+00,+8.600000E-06,+1.000000E+00
+8.650000E-06,+3.031250E+00,+8.700000E-06,+1.000000E+00
+8.750000E-06,+3.000000E+00,+8.800000E-06,+9.375000E-01
+8.850000E-06,+3.000000E+00,+8.900000E-06,+1.000000E+00
+8.950000E-06,+3.031250E+00,+9.000000E-06,+8.750000E-01
+9.050000E-06,+3.031250E+00,+9.100000E-06,+8.750000E-01
+9.150000E-06,+3.000000E+00,+9.200000E-06,+8.125000E-01
+9.250000E-06,+3.000000E+00,+9.300000E-06,+8.125000E-01
+9.350000E-06,+3.000000E+00,+9.400000E-06,+7.500000E-01
+9.450000E-06,+3.000000E+00,+9.500000E-06,+7.500000E-01
+9.550000E-06,+2.968750E+00,+9.600000E-06,+6.875000E-01
+9.650000E-06,+3.000000E+00,+9.700000E-06,+7.500000E-01
+9.750000E-06,+3.000000E+00,+9.800000E-06,+7.500000E-01
+9.850000E-06,+3.000000E+00,+9.900000E-06,+8.125000E-01
+9.950000E-06,+3.031250E+00,+1.000000E-05,+6.875000E-01
+1.005000E-05,+3.000000E+00,+1.010000E-05,+6.875000E-01
+1.015000E-05,+3.031250E+00,+1.020000E-05,+6.875000E-01
+1.025000E-05,+3.031250E+00,+1.030000E-05,+6.250000E-01
+1.035000E-05,+3.000000E+00,+1.040000E-05,+6.875000E-01
+1.045000E-05,+3.000000E+00,+1.050000E-05,+6.250000E-01
+1.055000E-05,+3.000000E+00,+1.060000E-05,+5.625000E-01
+1.065000E-05,+3.000000E+00,+1.070000E-05,+5.625000E-01
+1.075000E-05,+3.000000E+00,+1.080000E-05,+5.625000E-01
+1.085000E-05,+3.000000E+00,+1.090000E-05,+5.625000E-01
+1.095000E-05,+3.031250E+00,+1.100000E-05,+5.625000E-01
